구분,분류,표준계정과목명
자산,유동자산,현금
,,보통예금
,,당좌예금
,,정기예금
,,정기적예금
,,제예금
,,유가증권
,,외상매출
,,카드매출
,,받을어음
,,대손충당금
,,단기대여금
,,가지급금
,,전도금
,,미수금
,,미수수익
,,선급금
,,선습비용
,,선납세금
,,부가세대금급
,,이연법인세차
,,상품
,,제품
,,반제품
,,재공품
,,원재료
,,저장품
,고정자산,투자유가증권
,,출자금
,,장기대여금
,,보증금
,,건물
,,구축물
,,기계장치
,,차량운반구
,,공구와가구
,,토지
,,건설중인자산
,,감가상각누계액
,,영업권
,,특허권
,,개업비
,,신주발행비
부채,유동부채,외상매입
,,신용카드
,,지급어음
,,미지급금
,,미지급비용
,,당좌차월
,,단기차입금
,,가수금
,,예수금
,,부가세예수금
,,선수금
,,선수수익
,,미지급법인세
,,미지급배당금
,,이연법인세대
,고정부채,사채
,,장기차입금
,,국민연금전환금
,,퇴직급여충당금
,,환율조정대
자본,자본금,자본금
,자본잉여금,주식발행조과금
,,채무면제이익
,,자산수증이익
,,자기주식처분이익
,,감자차익
,이익잉여금,이익준비금
,,기업합리화적립금
,,제준비금
,,이월이익잉여금
수익,매출액,매출
,,매출환입
,,제품매출
,,판매장려금
,,매출에누리
,영업외수익,이자수익
,,외환차익
,,배당금수익
,,유가증권처분이익
,,유가증권평가이익
,,외환환산이익
,,매입할인
,,잡이익
,,사채상환이익
,,관세환급금
,특별수익,고정가산처분이익
,,투자자산처분이익
비용,판매관리비,급여
,,입원급여
,,상여금
,,퇴직급여
,,복리후생비
,,여비교통비
,,접대비
,,통신비
,,수도광열비
,,세금과공과
,,임차료
,,수선비
,,보험료
,,차량유지비
,,교육훈련비
,,연구비
,,운반비
,,도서인쇄비
,,회의비
,,포장비
,,사무용품비
,,소모품비
,,지급수수료
,,외주비
,,감가상각비
,,대손상각비
,,보관료
,,광고선전비
,,판매수수료
,,수출제비용
,,회의비
,,견본비
,,잡비
,영업과비용,이자비용
,,매출할인
,,유가증권처분손실
,,유가증권평가손실
,,재고자산평가손실
,,재고자산감모손실
,,외환차손
,,기부금
,,잡손실
,,투자자산처분손실
,,고정자산처분손실
,특별손실,재해손실
,법인세등,법인세
